layer,depth,auroc,ci_lo,ci_hi,cv_auroc,bal_acc,tpr,tpr_measured_at_fpr,C
1,0.03571428571428571,0.9994668635170604,0.998504944647781,1.0,0.9987853938215915,0.9921259842519685,0.9583333333333334,0.0,0.1
2,0.07142857142857142,0.9999589895013123,0.9997489208518506,1.0,0.9998019584112665,0.9960629921259843,1.0,0.003937007874015748,1.0
3,0.10714285714285714,0.9998359580052494,0.9993559088828393,1.0,0.9999779953790295,0.9901574803149606,1.0,0.007874015748031496,0.1
4,0.14285714285714285,1.0,0.9999999999999999,1.0,0.9998239630322369,0.9901574803149606,1.0,0.0,10.0
5,0.17857142857142858,0.999876968503937,0.999443099405728,1.0,0.9998239630322366,0.9888861548556431,0.9895833333333334,0.0,10.0
6,0.21428571428571427,0.9999589895013123,0.999770339895108,1.0,0.9999557731568073,0.9921259842519685,1.0,0.003937007874015748,1.0
7,0.25,1.0,0.9999999999999999,1.0,0.999713722326133,0.9940944881889764,1.0,0.0,1.0
8,0.2857142857142857,0.9999589895013123,0.9997471746361317,1.0,0.9998679722741777,0.9940944881889764,1.0,0.003937007874015748,1.0
9,0.32142857142857145,1.0,0.9999999999999999,1.0,0.9999119815161184,0.9960629921259843,1.0,0.0,1.0
10,0.35714285714285715,1.0,0.9999999999999999,1.0,0.9999339861370888,0.9980314960629921,1.0,0.0,1.0
11,0.39285714285714285,1.0,0.9999999999999999,1.0,0.9999559907580592,1.0,1.0,0.0,0.01
12,0.42857142857142855,1.0,0.9999999999999999,1.0,0.9999779953790295,0.9980314960629921,1.0,0.0,0.001
13,0.4642857142857143,0.9999589895013123,0.9997600000000001,1.0,1.0,0.9980314960629921,1.0,0.003937007874015748,0.001
14,0.5,1.0,0.9999999999999999,1.0,0.9999119815161184,1.0,1.0,0.0,0.1
15,0.5357142857142857,1.0,0.9999999999999999,1.0,0.9999339861370888,1.0,1.0,0.0,0.1
16,0.5714285714285714,1.0,0.9999999999999999,1.0,0.9999339861370888,1.0,1.0,0.0,0.1
17,0.6071428571428571,1.0,0.9999999999999999,1.0,0.9999339861370888,1.0,1.0,0.0,1.0
18,0.6428571428571429,1.0,0.9999999999999999,1.0,0.9995819122015623,1.0,1.0,0.0,1.0
19,0.6785714285714286,1.0,0.9999999999999999,1.0,0.999779953790296,0.9947916666666667,1.0,0.0,1.0
20,0.7142857142857143,1.0,0.9999999999999999,1.0,0.9997579491693255,1.0,1.0,0.0,1.0
21,0.75,1.0,0.9999999999999999,1.0,0.9998239630322366,1.0,1.0,0.0,1.0
22,0.7857142857142857,1.0,0.9999999999999999,1.0,0.9998019584112663,0.9947916666666667,1.0,0.0,1.0
23,0.8214285714285714,1.0,0.9999999999999999,1.0,0.999779953790296,0.9947916666666667,1.0,0.0,0.1
24,0.8571428571428571,1.0,0.9999999999999999,1.0,0.9997579491693255,0.9947916666666667,1.0,0.0,0.1
25,0.8928571428571429,1.0,0.9999999999999999,1.0,0.9998019584112663,0.9947916666666667,1.0,0.0,1.0
26,0.9285714285714286,1.0,0.9999999999999999,1.0,0.9998019584112663,1.0,1.0,0.0,1.0
27,0.9642857142857143,1.0,0.9999999999999999,1.0,0.9998459676532072,1.0,1.0,0.0,0.1
28,1.0,1.0,0.9999999999999999,1.0,0.9999559907580592,1.0,1.0,0.0,1.0
