layer,depth,auroc,ci_lo,ci_hi,cv_auroc,bal_acc,tpr,tpr_measured_at_fpr,C
1,0.03571428571428571,0.68859375,0.5969099999999999,0.7863636363636363,0.710016835016835,0.60625,0.0875,0.0,0.01
2,0.07142857142857142,0.7696875,0.6130099999999999,0.8944628099173554,0.7234006734006734,0.75625,0.0875,0.0,0.1
3,0.10714285714285714,0.7893749999999998,0.6459999999999999,0.900495867768595,0.7099326599326601,0.7124999999999999,0.05,0.0,0.1
4,0.14285714285714285,0.8092187499999999,0.756,0.8455401662049862,0.7771043771043772,0.71875,0.1125,0.0,100.0
5,0.17857142857142858,0.8010937499999999,0.6944,0.8865927112188365,0.7651515151515152,0.75,0.0625,0.0,0.01
6,0.21428571428571427,0.7826562499999999,0.7687573964497041,0.8036099999999999,0.7925084175084175,0.6937500000000001,0.0625,0.0,100.0
7,0.25,0.78625,0.7604733727810651,0.8279855075813609,0.7832491582491583,0.73125,0.0125,0.0,100.0
8,0.2857142857142857,0.8184375,0.7869822485207101,0.8418969350961538,0.7998316498316498,0.7124999999999999,0.175,0.0,100.0
9,0.32142857142857145,0.85765625,0.7952,0.9213223140495868,0.8515993265993267,0.7625,0.1875,0.0,0.01
10,0.35714285714285715,0.8837499999999999,0.8164,0.9326301652892561,0.8541245791245793,0.78125,0.25,0.0,0.01
11,0.39285714285714285,0.9028124999999999,0.8523999999999999,0.9448760330578512,0.8840067340067341,0.80625,0.2875,0.0,0.01
12,0.42857142857142855,0.9065624999999999,0.8248520710059172,0.9685640495867769,0.9154882154882154,0.79375,0.4125,0.0,0.001
13,0.4642857142857143,0.93203125,0.8675999999999999,0.9762644628099173,0.9181818181818182,0.83125,0.475,0.0,0.01
14,0.5,0.95609375,0.9079999999999999,0.9886980609418282,0.9336700336700338,0.88125,0.4125,0.0,0.001
15,0.5357142857142857,0.94703125,0.8932,0.9839741685950414,0.9354377104377104,0.875,0.4125,0.0,0.001
16,0.5714285714285714,0.95859375,0.9072,0.9884297520661157,0.9459595959595959,0.9,0.4375,0.0,0.001
17,0.6071428571428571,0.95875,0.9067455621301777,0.9885950413223141,0.9494949494949495,0.89375,0.45,0.0,0.001
18,0.6428571428571429,0.9596875,0.9131999999999999,0.9900826446280991,0.9510942760942761,0.90625,0.5375,0.0,0.001
19,0.6785714285714286,0.9595312500000001,0.906,0.9918079999999999,0.9515151515151515,0.9,0.5375,0.0,0.001
20,0.7142857142857143,0.9606250000000001,0.8996,0.9918005540166205,0.9516835016835017,0.90625,0.55,0.0,0.001
21,0.75,0.9589062500000001,0.8916,0.9900387811634349,0.9485690235690235,0.9,0.5625,0.0,0.001
22,0.7857142857142857,0.96,0.8968,0.9910381074792244,0.9483164983164982,0.9,0.5875,0.0,0.001
23,0.8214285714285714,0.95921875,0.9007799999999999,0.9909141274238227,0.9477272727272726,0.8875,0.5625,0.0,0.001
24,0.8571428571428571,0.9621875,0.898,0.9911461407202217,0.9459595959595959,0.91875,0.5875,0.0,0.001
25,0.8928571428571429,0.9606250000000001,0.8987999999999999,0.9918039401662051,0.9441077441077439,0.9125000000000001,0.575,0.0,0.001
26,0.9285714285714286,0.96296875,0.9124,0.9928166823103868,0.9446969696969697,0.8999999999999999,0.6125,0.0,0.01
27,0.9642857142857143,0.9589062500000001,0.8992,0.991161059728486,0.9442760942760943,0.90625,0.6,0.0,0.01
28,1.0,0.96140625,0.9016,0.9912608285066734,0.9430976430976432,0.8999999999999999,0.6125,0.0,0.01
