layer,depth,matched_indist,matched_advbench_vs_alpaca,confounded_advbench_vs_alpaca,matched_advbench_vs_orbench,confounded_advbench_vs_orbench,matched_forbiddenq_vs_alpaca,confounded_forbiddenq_vs_alpaca,matched_forbiddenq_vs_orbench,confounded_forbiddenq_vs_orbench
1,0.03571428571428571,0.68859375,0.907914551607445,0.9999957698815567,0.49544770393105886,0.9999114626372329,0.8651538461538462,0.5727948717948718,0.41745676803816334,0.5264833035181873
2,0.07142857142857142,0.7696875,0.5381345177664975,1.0,0.3610627434777476,0.9999926218864361,0.5250982905982906,0.6660042735042735,0.3513267740011926,0.5365086463923673
3,0.10714285714285714,0.7893749999999998,0.8013071065989847,0.9999830795262268,0.5022355684098689,1.0,0.7846880341880342,0.6316452991452992,0.48701550387596904,0.5238595706618963
4,0.14285714285714285,0.8092187499999999,0.7860363790186126,1.0,0.5345221933656004,1.0,0.6683461538461538,0.6755,0.3897584973166368,0.5472197376267145
5,0.17857142857142858,0.8010937499999999,0.928701353637902,0.9999873096446701,0.5129781017589423,1.0,0.873482905982906,0.6416794871794873,0.41536225402504473,0.5619409660107334
6,0.21428571428571427,0.7826562499999999,0.9060067681895093,0.9999957698815567,0.4198441742415299,1.0,0.8992991452991453,0.7910512820512821,0.4129546809779368,0.655381633870006
7,0.25,0.78625,0.9008248730964467,1.0,0.37213729193719747,1.0,0.9122820512820513,0.7649358974358974,0.4184332140727489,0.6815891472868219
8,0.2857142857142857,0.8184375,0.9367216582064297,1.0,0.3754353087002715,0.9999926218864361,0.9370854700854699,0.695923076923077,0.37022957662492545,0.5896765056648777
9,0.32142857142857145,0.85765625,0.9821742808798647,1.0,0.3704993507260063,1.0,0.9621452991452991,0.759517094017094,0.37264460345855693,0.6536896243291592
10,0.35714285714285715,0.8837499999999999,0.9880795262267343,1.0,0.339385845826939,1.0,0.9716452991452991,0.7999700854700854,0.3396466905187835,0.6783840190816937
11,0.39285714285714285,0.9028124999999999,0.9984137055837563,1.0,0.5531961987958919,1.0,0.9858034188034188,0.7846367521367522,0.44206917113893857,0.6207662492546213
12,0.42857142857142855,0.9065624999999999,0.9995600676818951,1.0,0.6317140833431709,0.9999852437728721,0.9912606837606837,0.7166367521367522,0.5173598688133572,0.5484645199761479
13,0.4642857142857143,0.93203125,0.9992808798646362,1.0,0.6164782788336678,0.9999631094321804,0.9926858974358975,0.7354316239316239,0.5082886106141921,0.5547704233750745
14,0.5,0.95609375,0.9999365482233502,1.0,0.7553786447881006,1.0,0.9989017094017094,0.7625512820512821,0.5611434108527131,0.6009764460345856
15,0.5357142857142857,0.94703125,0.9999534686971234,1.0,0.7334361350489906,1.0,0.9987863247863248,0.7433504273504272,0.5477564102564103,0.5851967799642218
16,0.5714285714285714,0.95859375,0.9999619289340101,1.0,0.7021160429701335,1.0,0.9973717948717948,0.7873760683760683,0.5392665474060823,0.6147659511031605
17,0.6071428571428571,0.95875,0.9999788494077835,1.0,0.7647340927871561,1.0,0.9967264957264957,0.7706431623931623,0.5472048300536673,0.6382677400119261
18,0.6428571428571429,0.9596875,0.9998857868020304,1.0,0.814233856687522,1.0,0.9940042735042735,0.7528162393162393,0.5451624925462135,0.6318127608825284
19,0.6785714285714286,0.9595312500000001,0.9998773265651438,1.0,0.8058744540195963,1.0,0.9942991452991453,0.7643632478632478,0.5011776982707216,0.6277504472271915
20,0.7142857142857143,0.9606250000000001,0.9999450084602368,1.0,0.8063023846063039,1.0,0.9971965811965812,0.8267905982905983,0.5041517590936195,0.6685971973762672
21,0.75,0.9589062500000001,0.9999746192893401,1.0,0.8216636170463936,1.0,0.9988803418803419,0.8633974358974358,0.5132416517590936,0.6979054859868814
22,0.7857142857142857,0.96,0.9999830795262267,1.0,0.8359255105654586,1.0,0.9992094017094018,0.8349273504273504,0.5168082886106142,0.6681052474657125
23,0.8214285714285714,0.95921875,0.9999746192893401,1.0,0.8223497816078384,1.0,0.9982435897435897,0.9200555555555556,0.5071183661299941,0.6216308884913536
24,0.8571428571428571,0.9621875,0.9999576988155667,1.0,0.8121827411167513,1.0,0.9981666666666668,0.9051709401709402,0.4892441860465116,0.6209675014907573
25,0.8928571428571429,0.9606250000000001,0.9999703891708968,1.0,0.8279645260299848,1.0,0.9989059829059829,0.7602606837606837,0.49531156827668454,0.5846153846153846
26,0.9285714285714286,0.96296875,0.9999027072758038,1.0,0.8513679022547516,1.0,0.9990683760683761,0.8381794871794871,0.5644901610017888,0.6359048896839594
27,0.9642857142857143,0.9589062500000001,0.9998477157360406,1.0,0.8619112265375988,1.0,0.9989059829059828,0.9201538461538461,0.561314847942755,0.6180456171735242
28,1.0,0.96140625,0.9998477157360406,1.0,0.8468229842993744,1.0,0.999051282051282,0.8143547008547007,0.539236732259988,0.6268634466308884
