layer,depth,auroc_matched,ci_lo,ci_hi,auroc_confounded_on_matched,cos_clean
1,0.03571428571428571,0.68859375,0.5969099999999999,0.7863636363636363,0.6575,0.16631299257278442
2,0.07142857142857142,0.7696875,0.6130099999999999,0.8944628099173554,0.6328125,-0.0726098120212555
3,0.10714285714285714,0.7893749999999998,0.6459999999999999,0.900495867768595,0.65453125,0.027420926839113235
4,0.14285714285714285,0.8092187499999999,0.756,0.8455401662049862,0.6526562499999999,-0.15562719106674194
5,0.17857142857142858,0.8010937499999999,0.6944,0.8865927112188365,0.62125,-0.09358211606740952
6,0.21428571428571427,0.7826562499999999,0.7687573964497041,0.8036099999999999,0.64921875,-0.23921816051006317
7,0.25,0.78625,0.7604733727810651,0.8279855075813609,0.6684375,-0.17659983038902283
8,0.2857142857142857,0.8184375,0.7869822485207101,0.8418969350961538,0.6756249999999999,-0.0523269847035408
9,0.32142857142857145,0.85765625,0.7952,0.9213223140495868,0.71546875,0.07907365262508392
10,0.35714285714285715,0.8837499999999999,0.8164,0.9326301652892561,0.723125,0.16642242670059204
11,0.39285714285714285,0.9028124999999999,0.8523999999999999,0.9448760330578512,0.74953125,0.3208596706390381
12,0.42857142857142855,0.9065624999999999,0.8248520710059172,0.9685640495867769,0.76375,0.4071851074695587
13,0.4642857142857143,0.93203125,0.8675999999999999,0.9762644628099173,0.786875,0.48971977829933167
14,0.5,0.95609375,0.9079999999999999,0.9886980609418282,0.811875,0.573468029499054
15,0.5357142857142857,0.94703125,0.8932,0.9839741685950414,0.83265625,0.670195460319519
16,0.5714285714285714,0.95859375,0.9072,0.9884297520661157,0.864375,0.7482913732528687
17,0.6071428571428571,0.95875,0.9067455621301777,0.9885950413223141,0.8968750000000001,0.8253000974655151
18,0.6428571428571429,0.9596875,0.9131999999999999,0.9900826446280991,0.9084375,0.8416585326194763
19,0.6785714285714286,0.9595312500000001,0.906,0.9918079999999999,0.893125,0.8871682286262512
20,0.7142857142857143,0.9606250000000001,0.8996,0.9918005540166205,0.8953125,0.8582617044448853
21,0.75,0.9589062500000001,0.8916,0.9900387811634349,0.90765625,0.847786545753479
22,0.7857142857142857,0.96,0.8968,0.9910381074792244,0.9060937499999999,0.8555433750152588
23,0.8214285714285714,0.95921875,0.9007799999999999,0.9909141274238227,0.9351562499999999,0.8613137006759644
24,0.8571428571428571,0.9621875,0.898,0.9911461407202217,0.934375,0.8597258925437927
25,0.8928571428571429,0.9606250000000001,0.8987999999999999,0.9918039401662051,0.903125,0.8649998903274536
26,0.9285714285714286,0.96296875,0.9124,0.9928166823103868,0.9128125,0.8650177717208862
27,0.9642857142857143,0.9589062500000001,0.8992,0.991161059728486,0.92765625,0.8460760712623596
28,1.0,0.96140625,0.9016,0.9912608285066734,0.901875,0.8004477024078369
