layer,ref_clean,ref_erased_dim,ref_erased_leace,harm_clean,harm_transfer,harm_retrain,harm_random,harm_leace_retrain
1,0.9971650843881856,0.521756329113924,0.5049116561181435,0.68859375,0.67890625,0.67875,0.6887500000000001,0.6799999999999999
4,0.9971650843881856,0.6313291139240507,0.4653876582278481,0.8092187499999999,0.80421875,0.8040625,0.8020312500000001,0.8024999999999999
7,0.9990110759493671,0.6197916666666666,0.545820147679325,0.78625,0.77765625,0.8204687499999999,0.814375,0.81203125
10,0.9998022151898733,0.5905195147679325,0.5729825949367089,0.8837499999999999,0.8345312500000001,0.85828125,0.8834375,0.8623437500000001
13,0.9998022151898733,0.4479166666666667,0.595101529535865,0.93203125,0.8917187499999999,0.90515625,0.9320312500000001,0.90328125
16,0.9997362869198312,0.5451279008438817,0.49861550632911394,0.95859375,0.95078125,0.955,0.95875,0.9559374999999999
19,0.9985495780590716,0.40107463080168776,0.7070477320675106,0.9595312500000001,0.94703125,0.951875,0.9593750000000001,0.9468749999999999
22,0.9982858649789029,0.4699367088607595,0.37898866033755274,0.96,0.9575,0.95875,0.95953125,0.9578125
25,0.9978243670886076,0.4627834915611815,0.44725738396624476,0.9606250000000001,0.95640625,0.9578125,0.96078125,0.956875
28,0.9972310126582278,0.5677412974683543,0.4729694092827005,0.96140625,0.94765625,0.95484375,0.9615625,0.96078125
