layer,depth,cross_jbb,within_jbb,cross_orbench,matched_orbench,cross_xstest,within_xstest,cross_mean,within_mean,matched_mean
1,0.03571428571428571,0.6077,0.8099999999999999,0.4351056910569106,0.45808130081300813,0.6237,0.6928000000000001,0.5555018970189702,0.7514000000000001,0.45808130081300813
4,0.14285714285714285,0.6008,0.8822222222222222,0.46538211382113825,0.4723089430894309,0.62334,0.7476,0.5631740379403795,0.8149111111111111,0.4723089430894309
7,0.25,0.6146,0.8344444444444444,0.4044552845528455,0.3975447154471545,0.7056600000000001,0.714,0.5749050948509485,0.7742222222222221,0.3975447154471545
10,0.35714285714285715,0.6302000000000001,0.8766666666666666,0.2945528455284553,0.33115447154471545,0.6540599999999999,0.7836,0.5262709485094851,0.8301333333333333,0.33115447154471545
13,0.4642857142857143,0.7844000000000001,0.9422222222222222,0.5865040650406504,0.592,0.7653000000000001,0.8644,0.7120680216802168,0.9033111111111111,0.592
16,0.5714285714285714,0.8703000000000001,0.9677777777777778,0.6611707317073171,0.6448130081300812,0.85292,0.922,0.7947969105691057,0.9448888888888889,0.6448130081300812
19,0.6785714285714286,0.9,0.9633333333333334,0.6555609756097561,0.664780487804878,0.8851800000000001,0.9104,0.8135803252032522,0.9368666666666667,0.664780487804878
22,0.7857142857142857,0.9092,0.9411111111111111,0.6803252032520325,0.6925853658536585,0.8427800000000001,0.932,0.8107684010840108,0.9365555555555556,0.6925853658536585
25,0.8928571428571429,0.9023,0.9677777777777777,0.677869918699187,0.6812520325203252,0.83626,0.934,0.8054766395663956,0.9508888888888889,0.6812520325203252
28,1.0,0.9011,0.9588888888888889,0.666260162601626,0.6892032520325203,0.8656800000000001,0.9019999999999999,0.8110133875338753,0.9304444444444444,0.6892032520325203
